団体コード,総数,100歳以上
332143,46956,52
332151,28515,38
332160,34951,33
333409,14413,19
333468,14413,19
334201,12317,6
334235,12317,6
334405,11086,8
334456,11086,8
334600,14377,25
334618,14377,25
335801,944,2
335860,944,2
336009,13337,13
336068,13337,13
336203,17383,14
336220,11236,9
336238,6147,5
336408,1471,2
336432,1471,2
336602,19874,28
336637,5009,8
336661,14865,20
336807,11897,13
336815,11897,13
340006,2812091,1889
341002,1176642,591
341011,127801,65
341029,119498,63
341037,139556,86
341045,186335,91
341053,240449,81
341061,146044,115
341070,79557,48
341088,137402,42
342025,227891,184
342033,26564,23
342041,95045,97
342050,138662,111
342076,463371,276
342084,40307,40
342092,53490,71
342106,36638,61
342114,27480,12
342122,180001,98
342131,116150,81
342149,29137,56
342157,23844,36
343005,117594,58
343021,51519,25
343048,28840,11
343072,24263,13
343099,12972,9
343609,25516,40
343684,6625,13
343692,18891,27
344206,7717,16
344311,7717,16
344605,16590,21
344621,16590,21
345407,9452,17
345458,9452,17
350001,1394042,1092
352012,265333,196
352021,166345,116
352039,192380,139
352047,49355,37
352063,116192,80
352071,56068,32
352080,136727,126
352101,51976,42
352110,35200,19
352128,32719,32
352136,25435,33
352152,145085,102
352161,63343,49
353001,17144,44
353051,17144,44
353205,6411,4
353213,6411,4
353400,30850,37
353418,2944,6
353434,15585,17
353442,12321,14
355003,3479,4
355020,3479,4
360007,758844,548
362018,254256,161
362026,59192,33
362034,38893,28
362042,74607,49
362051,42087,34
362069,38285,18
362077,30040,20
362085,27453,40
363006,7034,11
363014,5427,4
363022,1607,7
363201,2451,4
363219,2451,4
363405,31665,21
363413,26051,12
363421,5614,9
363600,8844,22
363685,8844,22
363804,21087,37
363839,4343,5
363871,7059,13
363880,9685,19
364002,98703,46
364011,15244,2
364029,22962,13
364037,34762,15
364045,13513,8
364053,12222,8
364606,9547,14
364681,9547,14
364801,14700,10
364894,14700,10
370002,987146,783
372013,425229,302
372021,111709,51
372030,53608,43
372048,32356,26
372056,61021,55
372064,49867,41
372072,31738,33
372081,66805,80
373206,29524,46
373222,14415,26
373249,15109,20
373401,28352,19
373419,28352,19
373605,3138,5
373648,3138,5
373800,42411,25
373869,18055,4
373877,24356,21
374008,51388,57
374032,9353,18
374041,22974,20
374067,19061,19
380008,1394413,1045
382019,513003,287
382027,160585,151
382035,78430,46
382043,35071,36
382051,120680,82
382060,110352,84
382078,44734,59
382108,37633,25
382132,88696,65
382141,39509,51
382159,33418,25
383406,6895,11
383562,6895,11
383805,8736,12
383864,8736,12
384003,52315,49
384011,30773,31
384020,21542,18
384208,17132,14
384224,17132,14
384402,9853,10
384429,9853,10
384801,14895,19
384844,4118,4
384887,10777,15
385000,22476,19
385069,22476,19
390003,728616,628
392014,332478,219
392022,14160,10
392031,17907,18
392049,47807,22
392057,27524,21
392065,22331,29
392081,21241,17
392090,14234,10
392103,34642,36
392111,33629,17
392120,26380,27
393002,17584,31
393011,2614,6
393029,3349,5
393037,2754,4
393045,2787,3
393053,1345,2
393061,908,2
393070,3827,9
393401,7527,14
393410,3514,6
393444,4013,8
393606,4413,6
393631,4009,6
393649,404,0
393801,29395,39
393860,23674,23
393878,5721,16
394009,58846,90
394017,7170,16
394025,13194,19
394033,5892,11
394050,3635,5
394106,5171,6
394114,6042,11
394122,17742,22
394203,18518,22
394246,5366,7
394271,1633,0
394289,11519,15
400009,5062176,2886
401005,954377,633
401013,100624,95
401030,83279,46
401056,58270,46
401064,176255,116
401072,212760,115
401081,68016,59
401099,255173,156
401307,1482778,615
401315,295506,124
401323,215722,68
401331,178760,77
401340,252507,111
401358,202489,90
401366,122879,56
401374,214915,89
402028,117467,112
402036,303425,161
402044,56979,36
402052,128916,98
402061,48686,34
402079,67521,36
402109,65034,64
402117,48752,34
402125,35134,15
402133,72392,44
402141,26156,19
402150,42683,24
402168,58740,37
402176,102769,40
402184,112116,45
402192,99396,23
402206,96303,56
402214,71530,39
402231,57979,16
402249,61376,31
402257,30399,24
402265,28291,30
402273,39462,54
402281,54345,72
402290,38420,28
402303,99555,70
403008,50195,16
403059,50195,16
403407,227512,88
403415,37059,14
403423,31479,7
403431,45168,20
403440,27690,13
403458,31682,8
403482,8515,10
403491,45919,16
403806,94129,59
403814,14275,12
403822,28620,10
403831,31990,26
403849,19244,11
404004,24234,31
404012,7841,7
404021,16393,24
404209,13723,10
404217,13723,10
404403,31691,36
404471,29458,30
404489,2233,6
405001,15426,10
405035,15426,10
405205,14250,6
405221,14250,6
405400,19707,16
405442,19707,16
406007,80407,61
406015,11367,7
406023,10368,13
406040,9291,8
406058,17428,8
406082,5282,5
406091,3243,4
406104,23428,16
406201,56427,41
406210,36080,23
406252,20347,18
406406,33494,22
406422,6802,2
406465,7763,6
406473,18929,14
410004,832834,626
412015,233229,159
412023,124407,96
412031,71914,26
412040,19805,19
412058,55496,46
412066,49506,41
412074,30079,30
412082,45476,33
412091,26879,23
412104,31942,30
413208,16128,7
413275,16128,7
413402,52277,30
413411,17269,9
413453,9566,3
413461,25442,18
413801,5891,5
413879,5891,5
414000,20407,30
414018,20407,30
414204,40297,39
414239,6805,5
414247,9617,7
414255,23875,27
414409,9101,12
414417,9101,12
420000,1381794,993
422011,426429,279
422029,254771,169
422037,46142,41
422045,138585,97
422053,94952,50
422070,32515,39
422088,23593,33
422096,31661,19
422100,27521,26
422118,38215,40
422126,28596,24
422134,44725,39
422142,47768,44
423009,72492,32
423076,42483,18
423084,30009,14
423203,37351,33
423211,8217,10
423220,14180,13
423238,14954,10
423807,16357,13
423831,2568,6
423912,13789,7
424005,20121,15
424111,20121,15
430005,1786651,1334
431001,729092,378
431010,174592,96
431028,188558,75
431036,91759,63
431044,129415,74
431052,144768,70
432024,128037,96
432032,33425,23
432041,53710,38
432059,25417,19
432067,67035,71
432083,53394,70
432105,49414,57
432113,37471,27
432121,28441,28
432130,59962,49
432148,26941,24
432156,83852,80
432164,60485,39
433403,10538,16
433489,10538,16
433608,41949,49
433641,5382,5
433675,10040,14
433683,15997,11
433691,10530,19
434001,74789,45
434035,34033,19
434043,40756,26
434205,37521,45
434230,4141,10
434248,7361,9
434256,1520,0
434281,6607,11
434329,6818,2
434337,11074,13
434400,86175,94
434418,17264,17
434426,9094,9
434434,33125,23
434442,10928,13
434477,15764,32
434604,12251,13
434680,12251,13
434809,22866,21
434825,18086,14
434841,4780,7
435007,56378,47
435015,11016,9
435058,9962,11
435066,4080,7
435074,2294,2
435104,4625,1
435112,1162,1
435121,3594,4
435139,3896,2
435147,15749,10
435201,7508,5
435317,7508,5
440001,1165898,821
442011,476957,230
442020,115594,69
442038,83986,48
442046,67306,48
442054,73580,67
442062,39635,37
442071,18455,22
442089,22609,41
442097,22783,17
442101,30104,29
442119,57092,52
442127,37316,50
442135,34822,35
442143,29141,34
443204,2152,2
443221,2152,2
443409,28454,18
443417,28454,18
444600,25912,22
444618,9852,12
444626,16060,10
450006,1114552,825
452017,402570,234
452025,166387,138
452033,126331,83
452041,54611,45
452050,46678,50
452068,62484,44
452076,19162,19
452084,31188,29
452092,20131,21
453404,25995,15
453412,25995,15
453609,9673,10
453617,9673,10
453803,27393,15
453820,19855,10
453838,7538,5
454001,71994,66
454010,20861,9
454028,17723,12
454036,1206,1
454044,5342,3
454052,16054,18
454061,10808,23
454206,28947,29
454214,18399,16
454290,1830,2
454303,2940,3
454311,5778,8
454401,21008,27
454419,12754,15
454427,4178,6
454435,4076,6
460001,1660215,1363
462012,604362,372
462039,104217,72
462047,21871,9
462063,21435,16
462080,54131,35
462101,41980,48
462136,15853,14
462144,15460,16
462152,96642,94
462161,49670,59
462179,37446,46
462187,126168,91
462195,28744,20
462209,35386,34
462217,32140,32
462225,44143,39
462233,36363,38
462241,26993,33
462250,76497,70
463001,1093,0
463035,375,0
463043,718,0
463809,22023,30
463922,22023,30
464007,10743,10
464040,10743,10
464406,9800,9
464520,9800,9
464601,13423,11
464686,13423,11
464805,38461,42
464821,6712,7
464902,7973,7
464911,7737,9
464929,16039,19
465003,26888,17
465011,8258,7
465020,5754,3
465054,12876,7
465208,68283,106
465232,1541,2
465241,1757,0
465259,9121,9
465275,6034,13
465291,7316,10
465305,11236,15
465313,6148,16
465321,6898,17
465330,6745,8
465348,6157,6
465356,5330,10
470007,1453208,1037
472018,320064,176
472051,97043,53
472077,48943,35
472085,113421,48
472093,62204,53
472107,60457,39
472115,140208,83
472123,62669,44
472131,121794,106
472140,54083,39
472158,43069,44
473006,65074,129
473014,4906,16
473022,3149,8
473031,1829,3
473065,9566,30
473081,13377,33
473111,10373,8
473138,5912,10
473146,11358,14
473154,4604,7
473201,154348,109
473243,40877,24
473251,13639,8
473260,28519,21
473278,16500,14
473286,20095,21
473294,34718,21
473405,102751,73
473481,19123,14
473502,37880,23
473537,686,0
473545,925,0
473553,720,2
473561,383,0
473570,1247,1
473588,576,0
473596,1256,2
473600,1496,1
473618,8052,12
473626,30407,18
473707,1165,1
473758,1165,1
473804,5915,5
473812,4218,5
473821,1697,0
