団体コード,総数,100歳以上
063614,5773,3
063622,8948,9
063631,5584,2
063649,8146,4
063657,3417,2
063665,4381,2
063673,4792,3
063801,39692,29
063819,23947,16
063827,15745,13
064009,29597,17
064017,7962,4
064025,14251,6
064033,7384,7
064203,29429,10
064262,7526,3
064289,21903,7
064602,14291,13
064611,14291,13
070009,1926751,1010
072010,281746,115
072028,120836,53
072036,324698,128
072044,327831,161
072052,61720,16
072079,77304,29
072087,49343,42
072095,35586,16
072109,55965,33
072117,38003,28
072125,62608,42
072133,61897,38
072141,30576,17
073008,35629,17
073016,12178,7
073032,9435,2
073083,14016,8
073202,8536,10
073229,8536,10
073407,18590,6
073423,12754,2
073440,5836,4
073601,27460,38
073628,6014,8
073644,582,1
073679,4505,4
073687,16359,25
074004,28029,32
074021,2883,0
074055,6722,11
074071,3587,4
074080,14837,17
074209,23346,12
074217,16450,9
074225,3342,0
074233,3554,3
074403,26323,31
074446,1714,2
074454,2189,7
074462,1321,1
074471,21099,21
074608,49165,25
074616,19896,8
074641,6514,6
074659,5183,4
074667,17572,7
074802,33137,20
074811,14368,8
074829,6018,4
074837,9122,8
074845,3629,0
075001,41132,23
075019,15819,10
075027,6862,1
075035,6306,2
075043,6593,5
075051,5552,5
075205,28033,30
075213,17518,13
075221,10515,17
075400,65158,35
075418,4987,1
075426,7256,2
075434,13538,2
075442,2701,2
075451,10617,9
075469,6143,7
075477,18448,10
075485,1468,2
075604,14100,13
075612,8010,9
075647,6090,4
080004,2903615,1324
082015,269970,152
082023,182912,109
082031,140160,67
082040,141398,45
082058,75828,44
082074,50638,27
082082,76834,18
082104,42714,29
082112,59839,27
082121,53692,66
082147,29507,11
082155,44616,31
082163,76852,38
082171,106851,40
082198,83940,19
082201,218394,72
082210,158219,61
082228,67251,19
082236,28668,13
082244,65501,14
082252,43221,38
082261,55224,31
082279,104731,45
082287,53587,21
082295,41939,15
082309,41686,10
082317,43359,28
082325,92724,13
082333,35248,21
082341,47904,26
082350,50464,23
082368,50926,15
083003,69702,38
083020,32757,12
083097,16665,11
083101,20280,15
083402,38066,22
083411,38066,22
083607,18082,15
083640,18082,15
084409,71568,27
084425,15672,5
084433,46743,17
084476,9153,5
085201,21652,10
085219,21652,10
085405,33308,13
085421,8715,6
085464,24593,7
085600,16440,11
085642,16440,11
090000,1955876,847
092011,513835,167
092029,147317,65
092037,159250,66
092045,118105,48
092053,98258,53
092061,84219,64
092088,160610,56
092096,77880,26
092100,71500,41
092118,33144,23
092134,116229,53
092142,44059,20
092151,27347,19
092169,59535,22
093009,31121,10
093017,31121,10
093408,64728,41
093424,23584,11
093432,13527,16
093441,11859,6
093459,15758,8
093602,64818,16
093611,39337,10
093645,25481,6
093807,41088,26
093840,11734,10
093866,29354,16
094005,42833,31
094072,25725,18
094111,17108,13
100005,1949754,1078
102016,333786,221
102024,370722,186
102032,113730,81
102041,200856,86
102059,214113,81
102067,49170,39
102075,75306,37
102083,79339,55
102091,66089,31
102105,49304,29
102113,59104,38
102121,51058,21
103403,35375,19
103446,14505,7
103454,20870,12
103608,3278,1
103667,1264,1
103675,2014,0
103802,23216,22
103829,7866,9
103837,2021,7
103845,13329,6
104205,56425,50
104213,16619,12
104248,5714,7
104256,9690,9
104264,6387,6
104281,3696,1
104299,14319,15
104400,34748,27
104434,4614,6
104442,3348,1
104485,7201,4
104493,19585,16
104604,36030,12
104647,36030,12
105201,98105,42
105210,14835,8
105228,11262,1
105236,11281,4
105244,34388,14
105252,26339,15
110001,7194582,2193
111007,1260267,414
111015,87144,35
111023,144179,39
111031,113336,57
111040,158970,53
111058,97854,31
111066,93602,24
111074,155943,60
111082,179480,47
111091,119737,29
111104,110022,39
112011,344734,117
112020,196815,78
112038,565506,132
112062,81525,47
112071,64021,28
112089,339293,110
112097,79508,27
112101,112300,33
112119,76836,25
112127,88125,21
112143,233111,58
112151,150960,46
112160,54258,27
112178,117635,48
112186,142132,57
112194,225211,68
112216,241237,39
112224,333725,93
112232,68638,28
112241,131073,13
112259,147407,46
112275,133677,22
112283,73794,21
112291,79223,20
112305,161934,41
112313,74662,22
112321,152001,43
112330,67174,19
112348,84236,13
112356,108396,23
112372,135705,24
112381,61836,24
112399,99100,34
112402,51496,22
112411,69011,24
112429,55889,22
112437,70252,21
112453,111314,38
112461,51881,16
113000,44165,8
113018,44165,8
113204,83699,37
113247,37639,14
113263,34262,19
113271,11798,4
113409,132238,61
113417,17912,4
113425,17681,9
113433,30965,12
113468,20488,7
113476,19613,10
113484,14063,8
113492,11516,11
113603,40909,23
113611,8461,5
113620,10022,6
113638,7318,5
113654,12126,5
113697,2982,2
113808,55004,21
113816,11216,5
113832,13634,4
113859,30154,12
114006,34036,12
114081,34036,12
114405,33402,10
114421,33402,10
114600,75231,17
114642,45425,12
114651,29806,5
120006,6152877,2324
121002,942699,327
121011,198577,68
121029,173730,73
121037,154448,64
121045,147297,57
121053,126768,33
121061,141879,32
122025,62390,23
122033,466276,133
122041,615783,192
122050,47564,41
122068,132386,50
122076,478079,157
122084,152634,56
122106,89887,39
122114,128157,47
122122,174120,67
122131,58287,32
122157,65926,42
122165,168433,61
122173,405322,135
122181,18356,22
122190,273994,93
122203,178579,68
122211,191441,45
122220,130869,52
122238,33449,25
122246,108116,25
122254,85763,45
122262,45588,20
122271,162981,21
122289,90451,32
122297,61652,27
122301,70132,22
122319,95798,31
122327,62490,16
122335,48246,8
122343,39426,46
122351,37262,23
122360,78065,46
122378,52614,30
122386,38822,33
122394,49608,25
123200,41744,27
123226,20683,11
123293,21061,16
123404,35077,32
123421,6168,5
123471,14689,13
123498,14220,14
124001,47887,25
124036,16430,10
124095,7291,1
124109,24166,14
124206,61145,53
124214,12314,13
124222,7196,4
124231,14552,9
124249,11555,6
124265,7181,6
124273,8347,15
124401,17186,20
124419,9510,10
124435,7676,10
124605,8193,10
124630,8193,10
130001,13043707,5528
131016,57123,34
131024,143464,48
131032,230250,106
131041,297253,132
131059,204795,98
131067,179222,90
131075,253743,92
131083,480434,118
131091,371019,154
131105,265614,153
131113,695696,274
131121,874339,416
131130,212453,100
131148,309767,162
131156,544407,318
131164,257247,116
131172,325597,156
131181,195282,94
131199,534642,218
131202,707289,270
131211,653864,225
131229,438125,161
131237,660687,183
132012,552115,241
132021,177695,72
132039,141147,87
132047,181725,96
